QID,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
qGEN59,15.1,14.8,70.1,11.92,12.49,10.51,12.35,15.3,12.93,12.63,11.86
qGEN60,7.97,15.01,77.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN61,15.69,16.06,68.25,10.04,11.8,13.68,10.49,14.6,11.8,13.29,14.31
qGEN62,11.51,26.34,62.15,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
qGEN63,12.02,14.01,73.98,12.21,11.44,10.32,12.92,13.7,11.09,12.65,15.68
qGEN64,23.95,24.78,51.28,11.83,12.1,12.59,10.3,17.1,10.95,9.32,15.81
qGEN65,12.82,12.64,74.54,11.92,12.49,10.51,12.35,15.3,12.93,12.63,11.86
qGEN66,18.98,12.23,68.79,11.8,11.13,9.76,13.85,14.19,15.15,11.9,12.22
qGEN67,11.67,10.63,77.7,11.0,9.09,13.03,9.87,15.0,12.4,12.58,17.03
qGEN68,12.82,16.2,70.98,11.28,12.8,11.35,10.76,12.75,15.86,14.12,11.08
qGEN69,14.17,16.06,69.77,11.62,12.49,11.15,11.41,13.19,14.74,13.63,11.76
